iter	Passed	Remaining
249	31184	93553
250	31263	93291
251	31345	93041
252	31421	92773
253	31500	92516
254	31581	92266
255	31663	92021
256	31741	91767
257	31824	91525
258	31900	91267
259	31983	91029
260	32061	90780
261	32144	90544
262	32219	90288
263	32300	90048
264	32376	89799
265	32453	89551
266	32544	89344
267	32627	89116
268	32705	88875
269	32786	88646
270	32859	88392
271	32954	88201
272	33030	87960
273	33102	87709
274	33176	87465
275	33246	87210
276	33324	86979
277	33398	86739
278	33470	86495
279	33542	86252
280	33617	86017
281	33694	85790
282	33765	85547
283	33842	85322
284	33915	85085
285	34027	84950
286	34134	84802
287	34265	84712
288	34369	84555
289	34485	84431
290	34573	84235
291	34651	84017
292	34721	83782
293	34792	83548
294	34866	83325
295	34935	83089
296	35008	82864
297	35075	82626
298	35148	82405
299	35215	82169
300	35232	81818
301	35305	81599
302	35373	81370
303	35441	81141
304	35527	80957
305	35615	80775
306	35690	80564
307	35752	80327
308	35824	80113
309	35893	79891
310	35961	79670
311	36032	79457
312	36099	79234
313	36171	79023
314	36239	78805
315	36304	78583
316	36381	78387
317	36448	78169
318	36520	77962
319	36587	77747
320	36660	77547
321	36725	77329
322	36784	77098
323	36851	76888
324	36917	76673
325	36982	76460
326	37047	76247
327	37107	76024
328	37172	75813
329	37230	75589
330	37293	75375
331	37359	75169
332	37416	74944
333	37480	74737
334	37546	74533
335	37608	74321
336	37689	74149
337	37746	73929
338	37811	73726
339	37872	73517
340	37936	73314
341	38000	73111
342	38066	72913
343	38128	72710
344	38196	72517
345	38259	72317
346	38327	72125
347	38391	71929
348	38454	71730
349	38520	71538
350	38586	71347
351	38651	71153
352	38709	70949
353	38770	70751
354	38862	70608
355	38946	70453
356	39007	70258
357	39084	70090
358	39184	69965
359	39249	69776
360	39320	69601
361	39402	69444
362	39478	69277
363	39536	69079
364	39624	68935
365	39709	68786
366	39774	68603
367	39835	68412
368	39893	68218
369	39976	68068
370	40074	67943
371	40143	67769
372	40204	67581
373	40287	67433
374	40364	67274
375	40438	67111
376	40497	66922
377	40552	66729
378	40641	66591
379	40723	66443
380	40783	66259
381	40834	66062
382	40890	65873
383	40947	65685
384	41018	65522
385	41094	65367
386	41166	65207
387	41221	65019
388	41277	64834
389	41334	64650
390	41388	64464
391	41473	64326
392	41553	64181
393	41611	64001
394	41663	63813
395	41718	63631
396	41773	63449
397	41840	63286
398	41923	63148
399	41991	62986
400	42046	62808
401	42103	62631
402	42158	62453
403	42217	62281
404	42277	62110
405	42346	61954
406	42440	61836
407	42509	61680
408	42568	61510
409	42646	61369
410	42723	61226
411	42778	61052
412	42831	60876
413	42909	60736
414	42989	60599
415	43047	60431
416	43101	60259
417	43180	60122
418	43257	59982
419	43308	59806
420	43361	59634
421	43416	59465
422	43494	59329
423	43573	59194
424	43628	59026
425	43681	58856
426	43734	58687
427	43787	58520
428	43841	58353
429	43898	58190
430	43952	58025
431	44004	57857
432	44058	57693
433	44110	57526
434	44163	57361
435	44218	57200
436	44270	57035
437	44322	56870
438	44378	56711
439	44432	56550
440	44482	56384
441	44542	56232
442	44589	56064
443	44638	55899
444	44692	55739
445	44749	55586
446	44800	55424
447	44855	55267
448	44905	55107
449	44959	54950
450	45010	54791
451	45062	54633
452	45112	54474
453	45162	54314
454	45214	54157
455	45261	53995
456	45311	53837
457	45361	53681
458	45414	53527
459	45463	53370
460	45511	53212
461	45566	53062
462	45617	52907
463	45667	52753
464	45721	52604
465	45769	52447
466	45818	52294
467	45867	52139
468	45919	51990
469	45970	51839
470	46019	51686
471	46075	51542
472	46127	51393
473	46178	51244
474	46231	51098
475	46280	50947
476	46329	50797
477	46383	50653
478	46431	50502
479	46478	50352
480	46527	50202
481	46578	50057
482	46626	49908
483	46674	49760
484	46726	49616
485	46773	49468
486	46820	49320
487	46867	49172
488	46917	49028
489	46967	48884
490	47014	48738
491	47064	48594
492	47135	48473
493	47182	48328
494	47233	48187
495	47280	48043
496	47328	47899
497	47375	47755
498	47425	47615
499	47473	47473
500	47520	47330
501	47571	47192
502	47620	47052
503	47669	46913
504	47720	46775
505	47768	46635
506	47818	46498
507	47863	46355
508	47909	46215
509	47958	46078
510	48009	45942
511	48061	45808
512	48109	45671
513	48158	45534
514	48206	45398
515	48255	45263
516	48305	45128
517	48352	44992
518	48401	44857
519	48445	44718
520	48491	44582
521	48540	44448
522	48584	44311
523	48627	44172
524	48669	44034
525	48717	43901
526	48762	43765
527	48807	43630
528	48856	43499
529	48901	43365
530	48948	43233
531	48990	43097
532	49039	42967
533	49084	42834
534	49129	42701
535	49174	42568
536	49220	42437
537	49264	42305
538	49307	42172
539	49356	42044
540	49401	41913
541	49447	41784
542	49499	41659
543	49544	41529
544	49587	41398
545	49629	41267
546	49677	41140
547	49724	41013
548	49770	40886
549	49815	40757
550	49861	40631
551	49910	40506
552	49956	40380
553	50004	40255
554	50048	40128
555	50096	40005
556	50142	39880
557	50191	39757
558	50233	39629
559	50275	39502
560	50318	39376
561	50368	39254
562	50413	39130
563	50458	39006
564	50507	38886
565	50553	38763
566	50594	38637
567	50639	38514
568	50681	38389
569	50722	38264
570	50765	38140
571	50807	38016
572	50849	37892
573	50891	37769
574	50933	37646
575	50981	37528
576	51023	37405
577	51066	37283
578	51112	37164
579	51154	37043
580	51199	36923
581	51242	36802
582	51285	36682
583	51326	36561
584	51368	36441
585	51410	36320
586	51453	36201
587	51496	36082
588	51536	35962
589	51576	35841
590	51624	35726
591	51670	35610
592	51712	35492
593	51759	35377
594	51803	35261
595	51861	35154
596	51907	35039
597	51950	34923
598	51994	34807
599	52036	34690
600	52079	34575
601	52124	34460
602	52169	34346
603	52214	34233
604	52259	34119
605	52300	34003
606	52340	33887
607	52381	33772
608	52424	33658
609	52458	33539
610	52493	33420
611	52528	33302
612	52565	33185
613	52599	33067
614	52635	32950
615	52669	32832
616	52702	32715
617	52741	32600
618	52777	32484
619	52812	32369
620	52845	32252
621	52881	32137
622	52918	32022
623	52954	31908
624	52988	31793
625	53024	31678
626	53059	31564
627	53093	31450
628	53127	31335
629	53162	31222
630	53198	31109
631	53235	30997
632	53269	30884
633	53302	30770
634	53337	30658
635	53373	30547
636	53409	30435
637	53444	30324
638	53478	30212
639	53512	30100
640	53550	29991
641	53585	29881
642	53621	29771
643	53655	29660
644	53690	29550
645	53726	29441
646	53760	29331
647	53794	29221
648	53830	29113
649	53865	29004
650	53902	28897
651	53938	28789
652	53972	28680
653	54009	28573
654	54046	28467
655	54083	28360
656	54117	28253
657	54154	28146
658	54195	28043
659	54232	27937
660	54266	27830
661	54299	27723
662	54335	27618
663	54371	27513
664	54406	27407
665	54443	27303
666	54478	27198
667	54516	27095
668	54552	26990
669	54587	26886
670	54621	26781
671	54656	26677
672	54691	26573
673	54728	26470
674	54764	26367
675	54798	26264
676	54836	26162
677	54872	26060
678	54907	25957
679	54943	25855
680	54978	25753
681	55012	25650
682	55047	25548
683	55081	25447
684	55117	25345
685	55153	25244
686	55188	25143
687	55222	25042
688	55256	24941
689	55291	24840
690	55325	24740
691	55359	24639
692	55393	24539
693	55428	24439
694	55463	24340
695	55498	24240
696	55533	24141
697	55566	24041
698	55600	23942
699	55640	23845
700	55674	23747
701	55709	23648
702	55741	23549
703	55776	23451
704	55812	23353
705	55847	23256
706	55885	23160
707	55920	23063
708	55956	22966
709	55990	22869
710	56028	22773
711	56061	22676
712	56095	22579
713	56133	22484
714	56167	22388
715	56202	22292
716	56235	22195
717	56271	22101
718	56305	22005
719	56340	21910
720	56375	21815
721	56410	21720
722	56447	21626
723	56482	21532
724	56518	21438
725	56567	21348
726	56603	21255
727	56639	21161
728	56674	21068
729	56708	20974
730	56743	20881
731	56784	20789
732	56820	20697
733	56859	20605
734	56893	20512
735	56927	20419
736	56961	20326
737	56995	20234
738	57031	20142
739	57065	20049
740	57101	19958
741	57137	19867
742	57171	19775
743	57207	19684
744	57241	19592
745	57275	19501
746	57309	19409
747	57342	19318
748	57379	19228
749	57416	19138
750	57452	19048
751	57487	18958
752	57521	18868
753	57555	18778
754	57592	18688
755	57627	18599
756	57662	18509
757	57702	18422
758	57746	18335
759	57781	18246
760	57816	18157
761	57852	18069
762	57889	17981
763	57925	17893
764	57962	17805
765	57995	17716
766	58030	17628
767	58067	17541
768	58100	17452
769	58135	17365
770	58168	17277
771	58202	17189
772	58239	17102
773	58273	17015
774	58308	16928
775	58345	16842
776	58382	16755
777	58414	16668
778	58451	16582
779	58488	16496
780	58523	16410
781	58562	16325
782	58598	16239
783	58633	16154
784	58669	16068
785	58704	15983
786	58740	15897
787	58774	15812
788	58810	15727
789	58845	15642
790	58885	15558
791	58920	15473
792	58956	15389
793	58991	15304
794	59025	15220
795	59062	15136
796	59095	15051
797	59131	14968
798	59165	14883
799	59203	14800
800	59238	14717
801	59274	14633
802	59309	14550
803	59346	14467
804	59382	14384
805	59423	14302
806	59456	14219
807	59492	14136
808	59530	14054
809	59566	13972
810	59601	13889
811	59637	13807
812	59677	13726
813	59713	13644
814	59749	13562
815	59785	13481
816	59821	13399
817	59858	13318
818	59897	13237
819	59932	13155
820	59969	13074
821	60008	12994
822	60043	12913
823	60078	12832
824	60113	12751
825	60151	12671
826	60187	12590
827	60223	12510
828	60257	12429
829	60291	12348
830	60328	12269
831	60364	12189
832	60399	12108
833	60435	12029
834	60470	11949
835	60508	11870
836	60545	11790
837	60579	11710
838	60612	11631
839	60651	11552
840	60686	11473
841	60722	11394
842	60757	11315
843	60795	11237
844	60830	11158
845	60867	11079
846	60902	11001
847	60938	10922
848	60975	10844
849	61011	10766
850	61046	10688
851	61081	10610
852	61116	10532
853	61153	10454
854	61188	10377
855	61227	10299
856	61278	10224
857	61314	10147
858	61350	10070
859	61386	9993
860	61423	9916
861	61461	9839
862	61496	9762
863	61531	9685
864	61564	9608
865	61601	9531
866	61637	9455
867	61673	9378
868	61709	9302
869	61744	9226
870	61784	9150
871	61821	9074
872	61857	8998
873	61893	8922
874	61929	8847
875	61966	8771
876	62001	8695
877	62036	8620
878	62070	8544
879	62108	8469
880	62144	8394
881	62180	8318
882	62216	8243
883	62252	8168
884	62289	8094
885	62324	8019
886	62360	7944
887	62396	7869
888	62435	7795
889	62471	7721
890	62506	7646
891	62541	7572
892	62580	7498
893	62616	7424
894	62655	7350
895	62687	7276
896	62722	7202
897	62758	7128
898	62793	7054
899	62828	6980
900	62861	6907
901	62898	6833
902	62932	6760
903	62965	6686
904	63000	6613
905	63041	6540
906	63075	6467
907	63106	6394
908	63143	6321
909	63179	6248
910	63215	6175
911	63244	6102
912	63272	6029
913	63300	5956
914	63327	5882
915	63355	5809
916	63383	5736
917	63411	5664
918	63438	5591
919	63467	5518
920	63495	5446
921	63525	5374
922	63553	5301
923	63581	5229
924	63613	5157
925	63640	5085
926	63668	5013
927	63699	4942
928	63729	4870
929	63757	4798
930	63783	4727
931	63812	4655
932	63839	4584
933	63869	4513
934	63897	4442
935	63925	4370
936	63952	4299
937	63981	4229
938	64008	4158
939	64038	4087
940	64067	4016
941	64095	3946
942	64124	3876
943	64152	3805
944	64183	3735
945	64213	3665
946	64242	3595
947	64269	3525
948	64299	3455
949	64328	3385
950	64358	3316
951	64387	3246
952	64415	3176
953	64443	3107
954	64472	3037
955	64502	2968
956	64530	2899
957	64558	2830
958	64586	2761
959	64615	2692
960	64644	2623
961	64672	2554
962	64701	2485
963	64729	2417
964	64757	2348
965	64785	2280
966	64815	2211
967	64844	2143
968	64873	2075
969	64902	2007
970	64930	1939
971	64957	1871
972	64986	1803
973	65015	1735
974	65041	1667
975	65069	1600
976	65098	1532
977	65127	1465
978	65156	1397
979	65185	1330
980	65213	1263
981	65241	1195
982	65269	1128
983	65297	1061
984	65328	994
985	65357	927
986	65385	861
987	65412	794
988	65441	727
989	65471	661
990	65499	594
991	65527	528
992	65556	462
993	65584	395
994	65611	329
995	65643	263
996	65672	197
997	65700	131
998	65727	65
999	65755	0
12265
937	182484	12061
938	182546	11858
939	182602	11655
940	182691	11454
941	182773	11253
942	182854	11052
943	182928	10851
944	183008	10651
945	183095	10451
946	183168	10251
947	183247	10051
948	183306	9851
949	183368	9650
950	183420	9450
951	183478	9250
952	183539	9051
953	183592	8852
954	183651	8653
955	183719	8455
956	183776	8257
957	183838	8059
958	183888	7861
959	183946	7664
960	184007	7467
961	184060	7270
962	184114	7073
963	184173	6877
964	184222	6681
965	184273	6485
966	184329	6290
967	184390	6095
968	184445	5900
969	184514	5706
970	184580	5512
971	184648	5319
972	184966	5132
973	185810	4960
974	186394	4779
975	186800	4593
976	187040	4403
977	187355	4214
978	187718	4026
979	188026	3837
980	188240	3645
981	188514	3455
982	188773	3264
983	188965	3072
984	189175	2880
985	189369	2688
986	189582	2497
987	189788	2305
988	189959	2112
989	190131	1920
990	190381	1728
991	190605	1537
992	190846	1345
993	191033	1153
994	191232	960
995	191440	768
996	191615	576
997	191778	384
998	191956	192
999	192121	0
