iter	RMSE
472	40741.90203
473	40730.39063
474	40717.99002
475	40694.73716
476	40678.13444
477	40660.29808
478	40648.12027
479	40619.78524
480	40592.49607
481	40575.05242
482	40557.46049
483	40537.66222
484	40505.02975
485	40491.3647
486	40477.08553
487	40466.49804
488	40452.89849
489	40417.79637
490	40399.89679
491	40378.52755
492	40369.03898
493	40350.49783
494	40335.10153
495	40311.20104
496	40290.03026
497	40266.28221
498	40249.05733
499	40227.60953
500	40206.50897
501	40187.79357
502	40168.07097
503	40151.83807
504	40134.99195
505	40112.31238
506	40096.97304
507	40081.2399
508	40068.03837
509	40051.60391
510	40035.02492
511	40017.22211
512	40002.42888
513	39984.97282
514	39967.66051
515	39943.51047
516	39917.34664
517	39890.20964
518	39865.70204
519	39847.50051
520	39835.60862
521	39815.58535
522	39799.52095
523	39779.53904
524	39759.07545
525	39743.39076
526	39728.64082
527	39712.56501
528	39696.98681
529	39674.22472
530	39643.17848
531	39620.60755
532	39602.65998
533	39585.38485
534	39571.40082
535	39551.15751
536	39533.99409
537	39513.98049
538	39497.9211
539	39483.09937
540	39452.2631
541	39437.03008
542	39420.66073
543	39409.28883
544	39394.83012
545	39375.16918
546	39364.05017
547	39347.59825
548	39331.37085
549	39317.65768
550	39303.32873
551	39280.53757
552	39262.40997
553	39247.2934
554	39234.81428
555	39212.91498
556	39201.0094
557	39181.76577
558	39171.12896
559	39154.32578
560	39134.78674
561	39117.38785
562	39097.50249
563	39082.45965
564	39063.75024
565	39052.17253
566	39035.11655
567	39023.73226
568	39012.0076
569	38976.08718
570	38964.43808
571	38949.31821
572	38934.56387
573	38915.75209
574	38905.36687
575	38885.03084
576	38869.18435
577	38852.67703
578	38842.9785
579	38822.87215
580	38804.44294
581	38787.89441
582	38774.27521
583	38754.70766
584	38734.01496
585	38723.09549
586	38699.95215
587	38684.12589
588	38668.66783
589	38657.10836
590	38643.76882
591	38631.73944
592	38617.68856
593	38601.2141
594	38585.72522
595	38560.17837
596	38540.60783
597	38527.89973
598	38516.4975
599	38503.33013
600	38493.43027
601	38480.39974
602	38470.85678
603	38453.06709
604	38440.94377
605	38414.84771
606	38397.14453
607	38368.0872
608	38354.56272
609	38338.07475
610	38328.28974
611	38315.57496
612	38299.13978
613	38288.82313
614	38272.00155
615	38250.81325
616	38231.71809
617	38211.90734
618	38194.68267
619	38182.23902
620	38174.15668
621	38164.12947
622	38152.73046
623	38135.95657
624	38116.67206
625	38098.97341
626	38085.1566
627	38067.87775
628	38051.65848
629	38029.24557
630	38013.52863
631	37985.18287
632	37970.18097
633	37956.35599
634	37941.67144
635	37930.24399
636	37916.16402
637	37905.87867
638	37888.29797
639	37876.68054
640	37855.42811
641	37842.39222
642	37827.23596
643	37811.29442
644	37795.76858
645	37781.52195
646	37762.70478
647	37744.29265
648	37731.8815
649	37720.70126
650	37711.51752
651	37696.28124
652	37680.47106
653	37662.09658
654	37637.13968
655	37624.0674
656	37611.28379
657	37599.19753
658	37587.47217
659	37573.94459
660	37554.03218
661	37537.21811
662	37519.23053
663	37508.22433
664	37491.91431
665	37480.72807
666	37455.54867
667	37441.55608
668	37427.44539
669	37411.88211
670	37399.50662
671	37385.37722
672	37373.67289
673	37357.41139
674	37345.9142
675	37327.27326
676	37314.68651
677	37288.57319
678	37264.03554
679	37249.06042
680	37235.10395
681	37224.75502
682	37196.10072
683	37180.903
684	37165.20338
685	37155.51333
686	37144.49642
687	37130.74747
688	37114.14215
689	37097.18217
690	37086.2871
691	37065.08784
692	37052.74219
693	37043.86135
694	37028.43562
695	37017.45966
696	37005.80128
697	36993.20144
698	36980.32194
699	36966.85039
700	36954.43177
701	36931.9576
702	36921.68438
703	36902.6785
704	36891.80441
705	36875.71937
706	36860.93767
707	36846.07064
708	36830.02088
709	36815.2873
710	36799.14356
711	36791.149
712	36779.78278
713	36767.22943
714	36758.57287
715	36741.46328
716	36726.46707
717	36709.92677
718	36704.38632
719	36684.55143
720	36670.94375
721	36657.85445
722	36645.8126
723	36634.74036
724	36620.52789
725	36606.68349
726	36585.60497
727	36574.6974
728	36561.34545
729	36552.58072
730	36530.53287
731	36516.79431
732	36504.62751
733	36484.00081
734	36472.64291
735	36463.47491
736	36452.29355
737	36443.21593
738	36427.61647
739	36418.49034
740	36393.53312
741	36387.19461
742	36357.98603
743	36347.98079
744	36336.51661
745	36327.20263
746	36315.67654
747	36299.31185
748	36283.69608
749	36274.91686
750	36261.82881
751	36249.30714
752	36240.40925
753	36230.24009
754	36215.7349
755	36202.4428
756	36179.73559
757	36164.70134
758	36148.01159
759	36132.67282
760	36124.46956
761	36103.18024
762	36093.64725
763	36078.83271
764	36070.76125
765	36062.14995
766	36050.4944
767	36029.61409
768	36017.90649
769	36006.21719
770	35994.79552
771	35985.34642
772	35977.09638
773	35964.65727
774	35945.46743
775	35926.65542
776	35916.3068
777	35904.58174
778	35888.31114
779	35871.05073
780	35858.19554
781	35847.3736
782	35837.67327
783	35824.8728
784	35809.38769
785	35799.18826
786	35790.38157
787	35777.75055
788	35763.31724
789	35750.39022
790	35742.96999
791	35730.42621
792	35718.29452
793	35704.91214
794	35698.58054
795	35682.99717
796	35668.62031
797	35658.61792
798	35643.67684
799	35634.74854
800	35624.27677
801	35606.71999
802	35596.40436
803	35586.41729
804	35573.85256
805	35559.87804
806	35548.11091
807	35534.68886
808	35526.50504
809	35517.23864
810	35504.7921
811	35493.6454
812	35477.88094
813	35465.04557
814	35451.31777
815	35440.7219
816	35432.17123
817	35416.88678
818	35400.46864
819	35392.61004
820	35373.94213
821	35361.79451
822	35349.18074
823	35334.90421
824	35323.90917
825	35310.67158
826	35292.61473
827	35265.87539
828	35254.79547
829	35232.76063
830	35217.81793
831	35201.85089
832	35195.2053
833	35183.52959
834	35173.76919
835	35162.46117
836	35146.19983
837	35130.96376
838	35120.07465
839	35105.31067
840	35096.91688
841	35074.38169
842	35058.03681
843	35038.16192
844	35028.7155
845	35011.6039
846	34998.6149
847	34986.03723
848	34975.49052
849	34968.44609
850	34956.03949
851	34946.55987
852	34933.23615
853	34920.13933
854	34911.62933
855	34891.93661
856	34880.47406
857	34867.72696
858	34852.28378
859	34840.11581
860	34828.10679
861	34815.66552
862	34803.73163
863	34792.32456
864	34781.92583
865	34773.06402
866	34760.57478
867	34748.88607
868	34733.54214
869	34723.7903
870	34714.72394
871	34698.55331
872	34688.41725
873	34674.38373
874	34663.13812
875	34651.59358
876	34635.32531
877	34625.1185
878	34616.95318
879	34590.82386
880	34582.81773
881	34572.55314
882	34554.91456
883	34541.0333
884	34529.73218
885	34519.34336
886	34498.87227
887	34488.41149
888	34478.42274
889	34470.31492
890	34463.21112
891	34453.79444
892	34440.83255
893	34432.46776
894	34424.00829
895	34413.95959
896	34401.48829
897	34388.46234
898	34379.09047
899	34363.7562
900	34349.80261
901	34341.34207
902	34331.54864
903	34325.01185
904	34312.82646
905	34300.68833
906	34288.65865
907	34282.24135
908	34274.09446
909	34266.83951
910	34259.33225
911	34247.541
912	34235.7181
913	34222.72766
914	34212.15491
915	34198.59869
916	34182.92876
917	34172.93619
918	34161.75731
919	34148.08366
920	34134.88845
921	34119.48651
922	34106.26874
923	34088.72204
924	34075.02778
925	34067.62468
926	34056.181
927	34040.76232
928	34029.92852
929	34018.27294
930	34006.48125
931	33995.38844
932	33987.12044
933	33980.14478
934	33971.9503
935	33963.47079
936	33956.07564
937	33948.16931
938	33938.26663
939	33918.14725
940	33910.0985
941	33901.01506
942	33883.67407
943	33875.63942
944	33854.21452
945	33842.33984
946	33837.40862
947	33822.00915
948	33814.42655
949	33806.59195
950	33798.4256
951	33786.32427
952	33775.77916
953	33764.8061
954	33746.1829
955	33734.87728
956	33725.53989
957	33708.58571
958	33701.20467
959	33687.22831
960	33675.76331
961	33668.09552
962	33655.59585
963	33640.7561
964	33631.79521
965	33619.23205
966	33604.63668
967	33597.513
968	33590.1627
969	33579.091
970	33564.1157
971	33550.94776
972	33541.79113
973	33530.0955
974	33522.19187
975	33508.25619
976	33499.80434
977	33485.48199
978	33477.62011
979	33469.9092
980	33458.60663
981	33447.25773
982	33439.31062
983	33425.09848
984	33412.60572
985	33402.09911
986	33392.5859
987	33377.32895
988	33358.5464
989	33346.48549
990	33333.64023
991	33325.73153
992	33314.42475
993	33307.89013
994	33297.54155
995	33287.26004
996	33276.2742
997	33263.82148
998	33256.92527
999	33247.5724
416
999	33309.93146
